"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-9653af8ce642bd9b\lib-ed25519.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-27687fe0890fac60\lib-ed25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-38152d000a9cbe4e\lib-ed25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-23eeef57f50114dd\lib-generic_array.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-7b76943d0682d1a8\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\log-cdd89cbbe9774fc6\lib-log.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ptr_meta-df81312a49f51119\lib-ptr_meta.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-134809fef1c95c45\lib-sha2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-e157437fba9440da\lib-sha2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\signature-61c14b6d65a61428\lib-signature.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\subtle-a032d000767df35b\lib-subtle.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\typenum-b59b66e9b4f45af3\lib-typenum.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ucs2-1868e22a4eec054c\lib-ucs2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
