Date : 2026-07-19 04:39:40
Directory : v:\vex_os
Total : 206 files,  15979 codes, 28 comments, 2074 blanks, all 18081 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| v:\vex_os\apps\init\desktop_rtc.h                                                                                                                | C++      |         16 |          0 |          5 |         21 |
| v:\vex_os\apps\init\desktop_runtime.c                                                                                                            | C        |         99 |          0 |         11 |        110 |
| v:\vex_os\apps\init\desktop_runtime.h                                                                                                            | C++      |         37 |          0 |          7 |         44 |
| v:\vex_os\apps\init\desktop_session.c                                                                                                            | C        |        328 |          0 |         27 |        355 |
| v:\vex_os\apps\init\desktop_session.h                                                                                                            | C++      |         97 |          0 |          8 |        105 |
| v:\vex_os\apps\init\desktop_shell_ui.c                                                                                                           | C        |        212 |          0 |          8 |        220 |
| v:\vex_os\apps\init\desktop_shell_ui.h                                                                                                           | C++      |         48 |          0 |          7 |         55 |
| v:\vex_os\apps\init\desktop_stage.c                                                                                                              | C        |        172 |          0 |          8 |        180 |
| v:\vex_os\apps\init\desktop_stage.h                                                                                                              | C++      |         60 |          0 |          9 |         69 |
| v:\vex_os\apps\init\desktop_views.c                                                                                                              | C        |        561 |          0 |         26 |        587 |
| v:\vex_os\apps\init\desktop_views.h                                                                                                              | C++      |         73 |          0 |          9 |         82 |
| v:\vex_os\apps\init\main.c                                                                                                                       | C        |      1,103 |          0 |         92 |      1,195 |
| v:\vex_os\apps\init\manifest.json                                                                                                                | JSON     |         15 |          0 |          1 |         16 |
| v:\vex_os\apps\init\vex_boot_info.h                                                                                                              | C++      |         81 |          0 |         11 |         92 |
| v:\vex_os\apps\init\vex_gpu_proto.h                                                                                                              | C++      |         74 |          0 |         13 |         87 |
| v:\vex_os\apps\init\vex_ui_proto.h                                                                                                               | C++      |         85 |          0 |         12 |         97 |
| v:\vex_os\apps\services\main.c                                                                                                                   | C        |        293 |          0 |         28 |        321 |
| v:\vex_os\apps\services\manifest.json                                                                                                            | JSON     |         15 |          0 |          1 |         16 |
| v:\vex_os\apps\terminal2\main.c                                                                                                                  | C        |        307 |          0 |         31 |        338 |
| v:\vex_os\apps\terminal2\manifest.json                                                                                                           | JSON     |          7 |          0 |          0 |          7 |
| v:\vex_os\apps\terminal\main.c                                                                                                                   | C        |        134 |          0 |         13 |        147 |
| v:\vex_os\apps\terminal\manifest.json                                                                                                            | JSON     |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\testcenter\main.c                                                                                                                 | C        |        182 |          0 |         16 |        198 |
| v:\vex_os\apps\testcenter\manifest.json                                                                                                          | JSON     |         14 |          0 |          1 |         15 |
| v:\vex_os\boot\loader\include\efi.h                                                                                                              | C++      |        331 |          0 |         28 |        359 |
| v:\vex_os\boot\loader\include\loader.h                                                                                                           | C++      |         56 |          0 |         13 |         69 |
